;Id;Immobilisations incorporelles;Immobilisations corporelles;Actifs financiers non courants;Stocks et travaux en-cours;Créances clients et comptes rattachés;Trésorerie et équivalents de trésorerie;Total actif;Capitaux propres;Provisions pour risques et charges non courantes;Dettes financières non courantes;Dettes financières courantes;Fournisseurs et comptes rattaches;Total passif;Chiffre d'affaires;Produits des activités ordinaires;Résultat opérationnel;Coût de l'endettement financier net;Quote part resultats des Sociétés Mises en Equivalence;RN des activités abandonnées;Résultat net;total des passifs courants;Fonds de roulement;EBIT;sales;A;B;C;D;E;scoring;Approval;RAF1;RAF2;RFD;RLG;RLR;RFI;DPC;RCP;TRN
0;1;9505;39;32;63;163;66;17647;16296;138;207;172;414;17647;373,7808722;141,173345;838;-193;111,0890396;-241,0442792;618;393;120;94,6075272;373,7808722;0,006800023;0,035020117;0,005361111;0,923443078;0,021180987;0,650126691;0;0,923443078;78,72463768;0,021476738;1,697674419;1,331395349;515,71875;159,1707988;0,037923417;1,653375135
1;2;9595;79;32;54;141;109;18192;17103;135;3600;177;392;18192;373,3471646;141,1647624;931;-214;111,0845216;-240,9838977;734;355;127;97,18240222;373,3471646;0,006981091;0,040347405;0,005342041;0,940138522;0,020522601;0,667098125;0;0,940138522;4,750833333;0,207618734;1,717514124;1,412429379;646,96875;137,8475716;0,042916447;1,965998592
2;3;9884;96;49;40;88;50;19394;18086;146;63100;19;316;19394;365,8057247;141,0632591;875,5422426;3;111,0156162;-240,0137102;759,8853455;338;159;78,74246563;365,8057247;0,008198412;0,039181466;0,004060146;0,932556461;0,018861799;0,656486302;0;0,932556461;0,286624406;3,254563267;9,368421053;7,263157895;1656,857143;87,80617095;0,042015114;2,077292109
3;4;10135;128;49;29;160000;84;20930;18978;191;107600;126;340;20930;357,1959621;141,0107719;855,7042545;7;111,2653069;-244,154131;921;473;159987;25,18519022;357,1959621;7,643908266;0,044003822;0,001203306;0,906736742;0,017066219;9,799374443;1;0,906736742;0,176375465;5,146966077;1270,738095;1270,507937;2583,22449;163495,6892;0,048529877;2,578416605
4;5;1600;6700;256900;200;150800;28200;590000;391700;30100;96200;1000;32800;590000;272,868011;137,3514809;915,82095;88,95483171;112,2678064;-240,6877242;747,0619574;33888,95483;178200;-29964,48347;272,868011;0,302033898;0,001266207;-0,05078726;0,663898305;0,000462488;0,59541688;0;0,663898305;4,071725572;0,164745763;179,2;179;1,899182561;201716,5728;0,00190723;2,737814354
5;6;4700;7700;319400;200;160800;32400;646700;386800;31300;2000;400;31000;646700;270,51275;136,6995554;934,2139353;91,09735463;112,7390288;-241,2201792;747,4500396;31491,09735;193000;-31166,18681;270,51275;0,298438225;0,001155791;-0,04819265;0,598113499;0,000418297;0,559994629;0;0,598113499;193,4;0,003711149;483,5;483;1,217282405;216965,7438;0,001932394;2,763086175
6;7;12200;10500;346400;600;150500;43100;717100;396700;35600;700;8000;32700;717100;256,5404962;136,1562238;936,2039705;92,5692327;112,7282503;-300;748,4985313;40792,56923;186200;-35479,61573;256,5404962;0,259656952;0,001043785;-0,049476525;0,55320039;0,000357747;0,482055092;0;0,55320039;566,7142857;0,012132199;24,275;24,2;1,147228637;214127,9868;0,001886813;2,917662289
7;8;15600;12000;309000;95200;7300;1100;683200;342700;37000;600;9400;28300;683200;255,1030139;136,5882172;921,8552962;97,25173567;111,4093911;-500;786,9912772;37797,25174;94200;-36881,4852;255,1030139;0,137880562;0,001151919;-0,053983439;0,50161007;0,000373394;0,290263451;0;0,50161007;571,1666667;0,014637002;11,0212766;0,893617021;1,111003236;10444,80016;0,002296444;3,084994039
8;9;7000;692800;1000;133000;3900;3100;20000;7400;300;3000;100;6300;20000;363,6216758;141,4155965;935,7854;91,44791901;111,0426263;-251,0133872;713,0884698;6491,447919;139900;-77,79392071;363,6216758;6,995;0,035654423;-0,003889696;0,37;0,018181084;8,67126128;1;0,37;2,466666667;0,155;1400;70;10,4;3914,783124;0,096363307;1,961072503
9;10;9200;725000;1900;104000;3000;8500;22200;13800;700;1241300;1000;5400;22200;211,4691966;139,3808358;716,9901728;79,12797677;109,8866889;-229,4782844;734,1270659;6479,127977;114500;-627,9116393;211,4691966;5,157657658;0,033068787;-0,028284308;0,621621622;0,009525639;6,524645886;1;0,621621622;0,011117377;55,95945946;115,5;11,5;660,5789474;5178,059111;0,053197613;3,471555564
10;11;13500;552000;5400;141000;2800;1800;33300;22300;1462600;4381000;711800;5300;33300;-175,5670341;128,3883726;1047,840408;800;92,29937394;-269,3266464;540,0237353;717900;-566200;-1462903,955;-175,5670341;-17,003003;0,016216929;-43,93104971;0,66966967;-0,005272283;-164,9568344;0;0,66966967;0,005090162;152,9369369;0,20455184;0,006462489;815,4259259;-5821,138376;0,024216311;-3,075883453
11;12;17800;514000;15800;350;2660300;2260100;43800;28100;1486000;3578000;1037000;5700;43800;-89,62696674;127,2741435;843,1264545;200;95,07947508;-186,4075674;-535,9504082;1042900;3883750;-1486216,901;-89,62696674;88,67009132;-0,012236311;-33,93189272;0,641552511;-0,002046278;-5,205381991;0;0,641552511;0,007853549;105,3652968;4,745178399;4,744840887;228,2341772;-10833898,94;-0,019072968;5,979789651
12;13;1309500;4906;280900;378;2965000;2546000;13484400;5226000;1321000;3644000;1844000;2060000;13484400;-2509,788901;88,75575667;-20,46601205;2,005820469;79,05444419;-8,532236868;-298,4978295;3904002,006;3667378;-1323598,545;-2509,788901;0,271971908;-2,21E-05;-0,098157763;0,387558957;-0,000186125;0,234763928;0;0,387558957;1,43413831;0,406988817;2,988816703;2,988611714;31,57707369;-431201,6041;-5,71E-05;0,118933441
13;14;2813000;5284;321000;411;2858000;2413000;21576000;8101000;1406000;11828;1443000;2462000;21576000;-3437,408618;63,56704159;780,2005013;67,1711182;86,77699131;-50,70799607;-463,2097597;3905067,171;3828411;-1409500,976;-3437,408618;0,177438404;-2,15E-05;-0,065327261;0,375463478;-0,000159316;0,222434839;0;0,375463478;684,9002367;0,067428068;3,653091476;3,652806653;25,27360748;-303475,7039;-5,72E-05;0,134755512
14;15;1676000;28571;350000;516;2847000;3282000;18649000;7087000;5491;10493;10404;2278000;18649000;-2967,860095;94,58820152;-21,3251639;41,57379925;112,9805252;5,036545673;-337,7190935;2288445,574;6119112;-8553,448296;-2967,860095;0,328120114;-1,81E-05;-0,000458655;0,380020376;-0,000159143;0,620058306;0;0,380020376;675,4026494;0,001120543;589,1499423;589,100346;20,27855143;-350136,1138;-4,77E-05;0,11379212
15;16;1391000;5166;772000;178;117677;16664;18127000;6871000;5328;23520;8819;2230000;18127000;-2883,519096;95,22469604;425,4103309;138,4888898;109,1089539;-135,4598424;1042,312889;2238957,489;125700;-8306,743792;-2883,519096;0,006934407;5,75E-05;-0,000458253;0,379047829;-0,000159073;0,23415918;0;0,379047829;292,1343537;0,001784024;15,2533167;15,23313301;8,930725389;-14895,72414;0,000151697;-0,361472511
16;17;726;14389;1920;91;115760;19519;302967;143862;6129;17669;12559;26932;302967;320,7478386;140,9009162;877,899482;84,5916417;111,0061952;-242,6858333;734,0045797;39575,59164;122811;-5949,153078;320,7478386;0,40536098;0,002422721;-0,019636307;0,474843795;0,001058689;0,710990138;0;0,474843795;8,142056709;0,099773243;10,77872442;10,77147862;84,13072917;131730,8955;0,005102144;2,288416293
17;18;680;13402;2309;219536;115097;24467;326696;165410;6751;47759;9147;26530;326696;301,6300868;140,8088688;825,5968943;83,29570032;109,0254574;-249,617841;743,7055629;35760,2957;349953;-6590,178782;301,6300868;1,071188506;0,002276445;-0,020172205;0,506311678;0,000923275;1,526755234;0;0,506311678;3,463430976;0,1741864;39,25877337;15,25789876;92,32091815;139277,8998;0,004496134;2,465621288
18;19;828;12505;2938;239777;134580;51883;372945;184261;11901000;41774;4481;30576;372945;288,1889104;129,945636;9383,049094;126,9751318;93,3871534;-1369,624934;-1780,638621;35183,97513;421759;-11900841,76;288,1889104;1,130887933;-0,004774534;-31,91044727;0,494070171;0,000772738;-103,65688;0;0,494070171;4,410901518;0,124026331;95,12162464;41,61191698;76,93498979;170449,6538;-0,009663676;-6,178720126
19;20;771;15400;2381;278161;71090;23898000;381760;202896;11363000;62104;4238;18319;381760;523,8823909;124,524428;7354,709402;368,8393466;101,6066018;295,7469795;-7146,555494;22925,83935;24243013;-11362600,64;523,8823909;63,50328217;-0,018720022;-29,76372758;0,531475272;0,001372282;-21,72231301;0;0,531475272;3,26703594;0,173779338;5721,390042;5655,755073;111,297774;49529,91444;-0,035222752;-13,64152645
20;21;48917;312555;3288;428977;65565;31329000;870128000;75267000;9742000;69500;10261;16172;870128000;-179637,8488;-664,3962199;-10237,61917;395;-38,1977455;846,6885125;-11359,72353;26828;31813281;-9920973,453;-179637,8488;0,03656161;-1,31E-05;-0,01140174;0,086501067;-0,00020645;0,057924102;0;0,086501067;1082,978417;9,17E-05;3101,407465;3059,600916;22912,56083;-133,2192807;-0,000150926;0,063236805
21;22;42322;330224;3526;449152;71893;22656000;930695000;73252000;9554000;38516;8500;15441;930695000;-193177,2769;-706,2929291;-11998,55453;456;-45,4454172;287,5840593;-9474,845801;24397;23168545;-9746470,984;-193177,2769;0,024893811;-1,02E-05;-0,01047225;0,078706773;-0,000207562;0,042316395;0;0,078706773;1901,858968;5,05E-05;2726,711176;2673,869765;20785,73908;-135,8386733;-0,000129346;0,049047414
22;23;33912;346489;5089;455644;88100;28237000;780878000;74627000;34228;32192;66126;16617;780878000;-160285,4448;-584,271641;-14296,29826;725;-18,14683441;1543,991593;-8352,143266;83468;28714618;-193929,1731;-160285,4448;0,036772221;-1,07E-05;-0,000248348;0,095568066;-0,000205263;0,10042772;0;0,095568066;2318,184642;0,000125907;435,2409642;428,3504219;14670,69994;-200,6202125;-0,000111919;0,052107933
23;24;23400;631083;24900;379000;73254;28146;804589000;76175000;30190;29867;282146;96946;804589000;-165542,6181;-599,1720154;-12881,02713;588;-33,35152639;-349,5338042;-1920,814005;379680;198254;-195133,4461;-165542,6181;0,000246404;-2,39E-06;-0,000242526;0,094675667;-0,000205748;0,05609166;0;0,094675667;2550,473767;0,000387792;1,702664578;0,359388402;3060,436426;-161,5155681;-2,52E-05;0,011603139
24;25;28641;699755;194;48401;67656;35784;551100;344127;40208;215;335007;106632;551100;290,2062822;138,4564629;919,1400529;93,38786051;106,2662328;-227,2120864;709,5282204;441732,3879;-183166;-40056,25018;290,2062822;-0,332364362;0,001287476;-0,072684177;0,624436581;0,000526595;-0,26170401;0;0,624436581;1600,590698;0,608277989;0,453247246;0,308769667;1774,958763;85092,7134;0,002061821;2,444909927
25;26;28352;713488;218;51660;90262;21087;553808;362750;0;32031;4866;114335;553808;282,4924222;140,5368528;935,0342396;89,02865274;111,5848121;-246,1778047;703,1499099;119290,0287;158143;141,9555694;282,4924222;0,285555644;0,001269664;0,000256326;0,655010401;0,000510091;0,73880651;0;0,655010401;11,32496644;0,066624173;33,49958898;22,88306617;1810,922018;116624,8275;0,001938387;2,489092997
26;27;27352;613400;44878;57647;438731;16200;568838;362598;216310;32331;22580;125539;568838;270,6278323;139,8001957;1046,193966;734;111,7018502;-274,6675264;602,7232506;148853;489998;-216179,1724;270,6278323;0,861401664;0,001059569;-0,380036447;0,637436318;0,000475756;0,163982666;0;0,637436318;11,21518048;0,096531877;22,70053144;20,14751993;8,800057935;591723,3776;0,001662235;2,22712958
