,Id,Immobilisations incorporelles,Immobilisations corporelles,Actifs financiers non courants,Stocks et travaux en-cours,Créances clients et comptes rattachés,Trésorerie et équivalents de trésorerie,Total actif,Capitaux propres,Provisions pour risques et charges non courantes,Dettes financières non courantes,Dettes financières courantes,Fournisseurs et comptes rattaches,Total passif,Chiffre d'affaires,Produits des activités ordinaires,Résultat opérationnel,Coût de l'endettement financier net,Quote part resultats des Sociétés Mises en Equivalence,RN des activités abandonnées,Résultat net
0,1,9505.0,39.0,32.0,63.0,163.0,66.0,17647.0,16296,138.0,207.0,172.0,414.0,17647.0,6 846,6 846,838,-193,0,0,618
1,2,9595.0,79.0,32.0,54.0,141.0,109.0,18192.0,17103,135.0,3600.0,177.0,392.0,18192.0,7 508,7 508,931,-214,0,0,734
2,3,9884.0,96.0,49.0,40.0,88.0,50.0,19394.0,18086,146.0,63100.0,19.0,316.0,19394.0,8 134,8 134,1 180,3,0,0,1 004
3,4,10135.0,128.0,49.0,29.0,160000.0,84.0,20930.0,18978,191.0,107600.0,126.0,340.0,20930.0,8 354,8 354,1 065,7,0,0,921
4,5,1600.0,6700.0,256900.0,200.0,150800.0,28200.0,590000.0,391700,30100.0,96200.0,1000.0,32800.0,590000.0,0,0,0,0,0,0,0
5,6,4700.0,7700.0,319400.0,200.0,160800.0,32400.0,646700.0,386800,31300.0,2000.0,400.0,31000.0,646700.0,395 200,395 200,14 200,0,2 300,391 300,404 600
6,7,12200.0,10500.0,346400.0,600.0,150500.0,43100.0,717100.0,396700,35600.0,700.0,8000.0,32700.0,717100.0,444 100,444 100,25 700,-6 900,-6 200,-300,19 900
7,8,15600.0,12000.0,309000.0,95200.0,7300.0,1100.0,683200.0,342700,37000.0,600.0,9400.0,28300.0,683200.0,497 500,497 500,27 300,-7 300,4 500,-500,27 900
8,9,7000.0,692800.0,1000.0,133000.0,3900.0,3100.0,20000.0,7400,300.0,3000.0,100.0,6300.0,20000.0,471 700,471 700,21 800,-7 300,-45 200,0,-21 100
9,10,9200.0,725000.0,1900.0,104000.0,3000.0,8500.0,22200.0,13800,700.0,1241300.0,1000.0,5400.0,22200.0,0,0,0,0,0,0,0
10,11,13500.0,552000.0,5400.0,141000.0,2800.0,1800.0,33300.0,22300,1462600.0,4381000.0,711800.0,5300.0,33300.0,15 400,15 400,8 500,800,0,0,7 700
11,12,17800.0,514000.0,15800.0,350.0,2660300.0,2260100.0,43800.0,28100,1486000.0,3578000.0,1037000.0,5700.0,43800.0,18 000,18 000,2 600,200,0,0,2 300
12,13,1309500.0,4906.0,280900.0,378.0,2965000.0,2546000.0,13484400.0,5226000,1321000.0,3644000.0,1844000.0,2060000.0,13484400.0,20 600,20 600,2 500,0,0,0,2 700
13,14,2813000.0,5284.0,321000.0,411.0,2858000.0,2413000.0,21576000.0,8101000,1406000.0,11828.0,1443000.0,2462000.0,21576000.0,24 000,24 000,2 900,0,0,0,2 000
14,15,1676000.0,28571.0,350000.0,516.0,2847000.0,3282000.0,18649000.0,7087000,5491.0,10493.0,10404.0,2278000.0,18649000.0,0,0,0,0,0,0,0
15,16,1391000.0,5166.0,772000.0,178.0,117677.0,16664.0,18127000.0,6871000,5328.0,23520.0,8819.0,2230000.0,18127000.0,12 691 100,12 691 100,874 900,23 600,1 200,0,665 100
16,17,726.0,14389.0,1920.0,91.0,115760.0,19519.0,302967.0,143862,6129.0,17669.0,12559.0,26932.0,302967.0,12 258 000,12 258 000,837 000,31 000,1 000,0,704 000
17,18,680.0,13402.0,2309.0,219536.0,115097.0,24467.0,326696.0,165410,6751.0,47759.0,9147.0,26530.0,326696.0,11 588 000,11 588 000,660 000,64 000,47 000,3 074 000,3 491 000
18,19,828.0,12505.0,2938.0,239777.0,134580.0,51883.0,372945.0,184261,11901000.0,41774.0,4481.0,30576.0,372945.0,11 181 000,11 181 000,650 000,33 000,5 000,0,553 000
19,20,771.0,15400.0,2381.0,278161.0,71090.0,23898000.0,381760.0,202896,11363000.0,62104.0,4238.0,18319.0,381760.0,0,0,0,0,0,0,0
20,21,48917.0,312555.0,3288.0,428977.0,65565.0,31329000.0,870128000.0,75267000,9742000.0,69500.0,10261.0,16172.0,870128000.0,353 568,353 823,33 676,395,0,0,23 937
21,22,42322.0,330224.0,3526.0,449152.0,71893.0,22656000.0,930695000.0,73252000,9554000.0,38516.0,8500.0,15441.0,930695000.0,400 579,400 824,39 521,456,0,0,27 327
22,23,33912.0,346489.0,5089.0,455644.0,88100.0,28237000.0,780878000.0,74627000,34228.0,32192.0,66126.0,16617.0,780878000.0,417 757,417 999,39 853,725,0,0,26 409
23,24,23400.0,631083.0,24900.0,379000.0,73254.0,28146.0,804589000.0,76175000,30190.0,29867.0,282146.0,96946.0,804589000.0,426 382,426 803,38 640,588,0,0,26 185
24,25,28641.0,699755.0,194.0,48401.0,67656.0,35784.0,551100.0,344127,40208.0,215.0,335007.0,106632.0,551100.0,0,0,0,0,0,0,0
25,26,28352.0,713488.0,218.0,51660.0,90262.0,21087.0,553808.0,362750,0.0,32031.0,4866.0,114335.0,553808.0,299 845,132 592 000,7 735 000,1 093,265 000,0,6 603 000
26,27,27352.0,613400.0,44878.0,57647.0,438731.0,16200.0,568838.0,362598,216310.0,32331.0,22580.0,125539.0,568838.0,283 832,106 426 000,1 805 000,734,286 000,-428 000,-373 000
27,28,73780.0,14361.0,27965.0,66054.0,480491.0,214296.0,559300.0,355500,207330.0,28000.0,65526.0,137729.0,559300.0,299 962,132 866 000,5 840 000,1 551,504 000,-23 000,4 182 000
28,29,76413.0,13749.0,42001.0,380300.0,499377.0,265258.0,1033652.0,590641,201645.0,6100.0,90000.0,126403.0,1033652.0,297 200,112 113 000,5 350 000,1 400,400 000,0,3 331 000
29,30,53978.0,13419.0,138900.0,414900.0,47850.0,233809.0,1319232.0,633299,0.0,16727.0,15631.0,99500.0,1319232.0,0,0,0,0,0,0,0
30,31,309800.0,13179.0,534.0,494700.0,54099.0,188626.0,1398089.0,644118,484.0,35911.0,9546.0,32211.0,1398089.0,1 208 318,299 845,27 735,1 878,0,0,4 405
31,32,30877.0,711400.0,643.0,541900.0,61549.0,157533.0,2352586.0,1703921,804.0,55299.0,14517.0,33363.0,2352586.0,1 287 197,283 832,18 254,2 860,0,0,10 994
32,33,36904.0,807300.0,919.0,22079.0,65082.0,198555.0,2366971.0,1638126,1214.0,391000.0,24304.0,40359.0,2366971.0,1 336 227,299 962,14 291,2 924,0,0,5 406
33,34,66188.0,894700.0,1447.0,12280.0,460100.0,265700.0,2392188.0,1608082,1306.0,446800.0,76900.0,37777.0,2392188.0,1 344 400,297 200,17 600,0,0,0,8 500
34,35,86237.0,939000.0,72000.0,12282.0,490000.0,8511.0,2169400.0,1456400,106700.0,153700.0,100200.0,161300.0,2169400.0,0,0,0,0,0,0,0
35,36,430700.0,100844.0,88000.0,17331.0,552100.0,16630.0,207442.0,125991,47100.0,352400.0,438600.0,176900.0,207442.0,2 020 251,1 208 797,79 705,-6 267,4 670,0,60 095
